"","ASS.1","ASS.2","BET.1","BET.2","ASPL.1","ASPL.2","CC.1","CC.2","DEG.1","DEG.2","MIN.1","MIN.2","MAX.1","MAX.2","SD.1","SD.2","MT3.1","MT3.2","MT4.1","MT4.2","CLASS"
"46",-0.127962286813674,0.238095238095238,42.609375,0.453125,2.35267857142857,62.8893849206349,0.112970711297071,0,7.5625,1.125,2,3,14,42,3.45894286080093,1.4638501094228,1547,9,12589,9,"i_gpI"
"47",-0.0648527822115852,-0.099601593625498,33.9365079365079,0.873015873015873,2.094726062468,61.2503840245776,0.166977960403437,0,9.96825396825397,1.46031746031746,49,3,2,34,4.36617590844575,2.00664538572341,2379,20,23062,18,"i_gpI"
"48",0.0954455152777998,0.113608705901842,33.7096774193548,13.4032258064516,2.10523532522475,53.8910629296668,0.174972314507198,0.2,10.4838709677419,2.38709677419355,60,1,16,16,5.5092825854215,3.27110969645149,2393,52,23504,99,"i_gpI"
"49",-0.0994364918079159,-0.207784226698532,39.6825396825397,11.6666666666667,2.28008192524322,55.916026625704,0.168183996166747,0,8.6031746031746,2.0952380952381,22,1,15,15,5.92299968286472,2.92218591244849,1853,45,17268,76,"i_gpI"
"50",0.135422636646198,-0.190832966064345,36.9122807017544,4.66666666666667,2.31829573934837,51.7631578947368,0.232346241457859,0.115384615384615,8.21052631578947,1.75438596491228,29,1,20,20,6.35198743393769,3.36622245760514,1484,48,12509,118,"i_gpI"
"51",-0.0857208434194156,-0.0379987333755544,36.4838709677419,0.951612903225806,2.19619249074564,60.2247488101534,0.161831368993654,0,8.83870967741935,1.41935483870968,13,2,22,48,4.70504977547963,1.86026956531357,1968,17,18181,17,"i_gpI"
"52",-0.0822706731628343,-0.287976037655113,37.2786885245902,4.65573770491803,2.24262295081967,56.2043715846995,0.173846153846154,0,8.42622950819672,1.9672131147541,27,10,14,14,4.99819639601274,2.42189466544105,1724,39,15600,59,"i_gpI"
"53",-0.0644079410840525,0.092041963716455,36.40625,1.28125,2.15575396825397,61.5406746031746,0.156654888103651,0,9.71875,2.03125,51,3,7,7,5.0973654882336,2.18921418096968,2281,25,22381,28,"i_gpI"
"54",0.0465982037856827,0.158169458606458,35.2698412698413,6.6984126984127,2.13773681515617,57.9462365591398,0.167942005638341,0.0909090909090909,9.49206349206349,1.80952380952381,7,1,31,31,4.47167795551505,2.361363349076,2205,31,20975,44,"i_gpI"
"55",0.0160844049347445,0.184349134687735,37.3968253968254,12.3333333333333,2.20634920634921,52.9534050179211,0.191045928213045,0.0857142857142857,9.61904761904762,2.47619047619048,31,4,11,10,6.27444528181337,3.37379437418208,2261,66,22430,172,"i_gpI"
